Okay, I’ve extracted the key information from the provided text. Here’s the structured output:

**Module Information**

| Lecturer | Module Title | CA | Code   | Week | Weighting | Assessment Type |
|---------|--------------|----|--------|------|-----------|-----------------|
| Tadhg    | Practice-Orientated Information Systems Research | 100  | IS4416     | 1    | 0          | CaP             |
| John     | Final Year Project | 140 | IS4470     | 1    | 20       | CaG             |
| Yvonne   | User Experience Design 1 | 60  | IS4445     | 1    | 0          | CaG             |
| Sepas (Hadi) | Enterprise Data Governance and Data Modeling | 100  | IS4434     | 1    | 10         | CaG             |
| Phil     | Fintech        | 100 | IS4437     | 1    | 40       | CaG             |
|          |              |    |        | 2    | 80       | Exam            |
|          |              |    |        | 3    | 10        | CaG             |
|          |              |    |        | 4    | 40        | CaG             |
|          |              |    |        | 5    | 70        | CaG             |
|          |              |    |        | 6    | 40        | CaG             |
|          |              |    |        | 7    | 30        | CaG             |
|          |              |    |        | 8    | 30        | CaG             |
|          |              |    |        | 9    | 110       | CaG             |
|          |              |    |        | 10   | 50        | CaG             |
|          |              |    |        | 11   | 0         | DVM Application (50%) (10th Oct), Personal Research Project (28th Nov) |
|          |              |    |        | 12   | 0         | CaP             |
|          |              |    |        | 13   | 50        | CaG             |
|          |              |    |        | 14   | 0         | CaG             |
|          |              |    |        | 15   | 100       | CaG             |
|          |              |    |        | 16   | 0         | Week 6-10 (5 individual design projects), 5th of Dec - Group Project  (50%) |
|          |              |    |        | 17   | 0         | CaP             |
|          |              |    |        | 18   | 0         | CaG             |
|          |              |    |        | 19   | 0         | CaG             |
|          |              |    |        | 20   | 0         | CaG             |
|          |              |    |        | 21   | 0         | CaG             |
|          |              |    |        | 22   | 0         | CaG             |
|          |              |    |        | 23   | 0         | CaG             |
|          |              |    |        | 24   | 0         | CaG             |
|          |              |    |        | 25   | 0         | CaG             |
|          |              |    |        | 26   | 0         | CaG             |
|          |              |    |        | 27   | 0         | CaG             |
|          |              |    |        | 28   | 0         | CaG             |
|          |              |    |        | 29   | 0         | CaG             |
|          |              |    |        | 30   | 0         | CaG             |
|          |              |    |        | 31   | 0         | CaG             |
|          |              |    |        | 32   | 0         | CaG             |
|          |              |    |        | 33   | 0         | CaG             |
|          |              |    |        | 34   | 0         | CaG             |
|          |              |    |        | 35   | 0         | CaG             |
|          |              |    |        | 36   | 0         | CaG             |
|          |              |    |        | 37   | 0         | CaG             |
|          |              |    |        | 38   | 0         | CaG             |
|          |              |    |        | 39   | 0         | CaG             |
|          |              |    |        | 40   | 0         | CaG             |
|          |              |    |        | 41   | 0         | CaG             |
|          |              |    |        | 42   | 0         | CaG             |
|          |              |    |        | 43   | 0         | CaG             |
|          |              |    |        | 44   | 0         | CaG             |
|          |              |    |        | 45   | 0         | CaG             |
|          |              |    |        | 46   | 0         | CaG             |
|          |              |    |        | 47   | 0         | CaG             |
|          |              |    |        | 48   | 0         | CaG             |
|          |              |    |        | 49   | 0         | CaG             |
|          |              |    |        | 50   | 0         | CaG             |
|          |              |    |        | 51   | 0         | CaG             |
|          |              |    |        | 52   | 0         | CaG             |

**Notes:**

*   **CA:** Course Assessment
*   **Weighting:** Percentage of the overall grade.
*   **Assessment Type:**  The type of assessment (e.g., CaP - Canvas Participation, Exam, CaG - Coursework Grade).

I’ve presented this data in a tabular format for clarity. Let me know if you’d like me to modify the output in any way.
