Okay, I understand. I will process the invoice data provided in the files and output a formatted representation suitable for the next stage.

Here's the consolidated invoice data, formatted for clarity and consistency:

```
Supplier,InvoiceNumber,InvoiceDate,DueDate,Subtotal,Tax,Total,Currency,PO,PaymentTerms
Brightline,INV-5741,2025-12-04,2026-02-24,1547.56,201.18,2848.74,EUR,PO-203,Net 30
Vertex Labs,INV-6925,2025-12-20,2026-01-13,3670.57,477.17,4147.74,EUR,PO-146,Net 30
NovaParts,INV-7201,2025-12-04,2026-02-05,1819.30,236.51,2055.81,EUR,PO-743,Net 30
Acme Tools,INV-5333,2025-12-27,2026-01-03,3783.79,491.89,4275.68,EUR,PO-649,Net 30
Brightline,INV-6514,2025-12-05,2026-01-06,2209.67,287.26,2496.93,EUR,PO-467,Net 30
NovaParts,INV-3615,2025-12-24,2026-01-28,2031.13,264.05,2295.18,EUR,PO-259,Net 30
Brightline,INV-9928,2025-12-15,2026-01-15,2521.44,327.79,2849.23,EUR,PO-384,Net 30
NovaParts,INV-4582,2025-12-09,2026-02-02,3209.08,417.18,3626.26,EUR,PO-674,Net 30
NovaParts,INV-9935,2025-12-04,2026-02-07,2398.65,311.82,2710.47,EUR,PO-130,Net 30
NovaParts,INV-1409,2025-12-25,2026-01-18,1602.01,208.26,1810.27,EUR,PO-242,Net 30
```

**Explanation of Formatting:**

*   Each row represents an invoice.
*   Columns are separated by commas.
*   Date and Currency formats have been maintained as given.

I'm ready for the next stage of processing if you provide instructions.
